,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020
Nacional,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,35,35,35,35,633,633,633,633,633,633,633,633,633,1772,1843,1964,2125,2125,2125,2125,2627,2627,2627,2627,2627,2627,7149,8354,9086,11423,11423,11423,12377,12377,13447,13447,16810,17781,17781,20314,21824,21824,23100,25935,26990,28475,30451,31848,33329,35388,37325,38419,40152,42191,44424,46979,49452,51708,53834,56041,59003,61247,63772,66965,69749,72680,74758,77841,80830,83775,87633,90748,93930,97198,100876,104078,107298,112292,115394,118504,122180,126438,130854,134495,139383,143646,148487,152362,156827,160721,164646,170147,174538,178526,183757,189345,195724
Campeche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,3,3,5,5,5,6,7,7,7,7,9,12,12,38,40,41,47,49,52,57,61,67,71,76,80,85,89,91,99,107,112,122,127,137,143,155,167,184,198,211,234,245,254,261,275,287,310,329,352,370,381,396,416,438,454,472,494,543,572,592,628,628,636,659,664,688,708,733,769,797,834,856,915,958,1015,1064,1104,1168,1223,1276,1634,1430,1506,1563,1607,1685
Ciudad de México,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,35,35,35,35,600,600,600,633,633,633,633,633,633,,,,,,,,,,,800,800,800,800,813,951,2149,2756,2851,2881,3120,3392,3697,3700,4012,4779,5120,5616,5905,6335,6451,6781,7102,7422,6712,8093,8685,9072,9502,10227,10799,11208,11665,12341,13112,13900,14557,14921,15693,16299,17060,17626,18286,19099,19750,20521,20988,21649,22254,22860,23716,24424,25066,25885,26574,27133,27740,28817,29401,29904,30696,31451,32206,32746,33850,34034,34666,35167,35837,36422,37550,38026,38457,39104
Morelos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,3,3,3,3,3,4,5,7,10,10,10,10,15,15,15,15,15,17,17,18,24,32,34,34,34,34,34,35,35,55,55,56,56,56,56,56,65,65,65,65,128,134,281,391,615,678,678,680,684,698,712,744,769,782,802,821,834,839,902,905,927,971,995,999,1043,1050,1101,1126,1198,1273,1277,1307,1354,1399,1401,1478,1530,1573,1568,1601,1631,1651,1674,1725,1808,1856,1961,1981,2010,2041,2184,2195
Estado de México,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,3,2,8,9,11,11,16,19,22,27,35,43,46,49,52,55,310,361,379,420,456,632,684,735,806,889,967,1038,1125,1203,1302,1432,1528,1629,1742,1926,2000,2326,2454,2565,2707,2925,3065,3107,3376,3615,3838,4065,4330,4549,4777,5066,5315,5530,5821,6114,6314,6558,6849,7174,7264,7827,8250,8518,8783,9540,9167,9989,10254,10398,10873,11215,12059,12342,12785,13289,13449,13825,14508,14901,15286,15740,16119,16515,16880,17138,17558,17880,18168,18572
Quintana Roo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,6,12,18,24,29,34,41,53,58,65,69,69,69,69,72,74,91,105,119,148,161,171,179,184,312,362,402,411,431,436,439,457,464,464,517,537,540,544,584,633,686,710,722,729,744,753,762,777,791,833,842,854,866,922,1015,1027,1059,1062,1065,1080,1099,1126,1153,1176,1185,1207,1242,1309,1347,1393,1409,1426,1459,1515,1543,1572,1594,1615,1637,1658,1674,1739,1775,1802,1838,1859,1900,1914,1966,2029
Yucatán,0,0,0,0,0,0,0,0,0,0,0,0,5,9,11,11,17,20,20,29,30,34,41,43,45,54,55,55,56,58,66,67,68,68,80,85,89,95,100,101,111,123,134,137,162,178,193,207,221,232,239,252,275,291,322,358,371,407,434,459,501,532,581,601,643,682,712,743,779,805,846,882,923,963,1016,1067,1117,1167,1196,1257,1301,1343,1400,1436,1509,1615,1656,1706,1775,1788,1834,1897,1950,2006,2021,2083,2143,2172,2228,2288,2349,2402,2476,2558,2563,2710,1790,2869,2932,3036,3142,3211,3211
