,12/03/2020,13/03/2020,14/03/2020,15/03/2020,16/03/2020,17/03/2020,18/03/2020,19/03/2020,20/03/2020,21/03/2020,22/03/2020,23/03/2020,24/03/2020,25/03/2020,26/03/2020,27/03/2020,28/03/2020,29/03/2020,30/03/2020,31/03/2020,01/04/2020,02/04/2020,03/04/2020,04/04/2020,05/04/2020,06/04/2020,07/04/2020,08/04/2020,09/04/2020,10/04/2020,11/04/2020,12/04/2020,13/04/2020,14/04/2020,15/04/2020,16/04/2020,17/04/2020,18/04/2020,19/04/2020,20/04/2020,21/04/2020,22/04/2020,23/04/2020,24/04/2020,25/04/2020,26/04/2020,27/04/2020,28/04/2020,29/04/2020,30/04/2020,01/05/2020,02/05/2020,03/05/2020,04/05/2020,05/05/2020,06/05/2020,07/05/2020,08/05/2020,09/05/2020,10/05/2020,11/05/2020,12/05/2020,13/05/2020,14/05/2020,15/05/2020,16/05/2020,17/05/2020,18/05/2020,19/05/2020,20/05/2020,21/05/2020,22/05/2020,23/05/2020,24/05/2020,25/05/2020,26/05/2020,27/05/2020,28/05/2020,29/05/2020,30/05/2020,31/05/2020,01/06/2020,02/06/2020,03/06/2020,04/06/2020,05/06/2020,06/06/2020,07/06/2020,08/06/2020,09/06/2020,10/06/2020,11/06/2020,12/06/2020,13/06/2020,14/06/2020,15/06/2020,16/06/2020,17/06/2020,18/06/2020,19/06/2020,20/06/2020,21/06/2020,22/06/2020,23/06/2020,24/06/2020,25/06/2020,26/06/2020,27/06/2020,28/06/2020,29/06/2020,30/06/2020,01/07/2020,02/07/2020
Nacional,16,30,44,55,75,101,118,177,203,251,316,356,405,475,585,717,848,993,1094,1215,1378,1510,1688,1890,2143,2439,2785,3181,3441,3844,4219,4661,5014,5399,5847,6297,6875,7497,8261,8772,9501,10544,11633,12872,13842,14677,15529,16752,17799,19224,20739,22088,23471,24905,26025,27634,29616,31522,33460,35022,36327,38324,40186,42595,45032,47144,49219,51633,54346,56594,59567,62527,65856,68620,71105,74560,78023,81400,84627,87512,90664,93435,97326,101238,105680,110026,113619,117103,120102,124301,129184,133974,139196,142690,146837,150264,154863,159793,165455,170485,175202,180545,185122,191410,196847,202951,208392,212802,216852,220657,226089,231770,238511
Campeche,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3,3,5,5,5,6,8,8,9,14,14,14,15,18,19,29,33,43,45,47,56,57,63,67,70,70,83,87,94,103,114,121,129,140,150,161,169,172,202,219,230,250,262,281,281,301,331,366,374,385,393,407,417,443,469,500,526,540,549,583,621,635,664,684,709,712,735,779,787,826,856,891,912,947,1008,1031,1071,1109,1144,1169,1209,1268,1321,1368,1440,1500,1551,1618,1694,1764,1838,1932,1984,2039,2122,2213
Ciudad de México,6,11,17,18,18,21,21,31,31,45,56,60,66,82,83,107,177,196,205,234,296,327,384,469,560,609,723,855,909,1040,1117,1328,1437,1556,1686,1828,2080,2299,2591,2710,2857,3287,3685,4118,4431,4660,4887,5261,5626,6113,6491,7035,7486,7916,8158,8814,9533,10276,10911,11599,11905,12572,13095,13938,14878,15609,16298,17385,18279,18993,20076,21182,22675,23618,24286,25171,26137,27319,28397,29205,30103,30987,31850,32906,34243,35685,36534,37278,38060,38993,40117,41261,42746,43559,44683,45439,46178,47098,48614,49851,50881,51696,52175,52975,53757,54854,55909,56752,57280,57750,58394,59023,60225
Morelos,0,0,0,0,0,0,0,0,2,2,2,2,2,2,4,4,4,6,6,7,9,9,12,14,15,17,24,26,35,35,40,44,49,53,56,58,73,77,82,85,89,96,112,135,158,178,181,229,261,307,349,400,413,487,539,597,642,697,760,786,801,856,895,960,999,1012,1070,1074,1073,1087,1132,1102,1134,1178,1196,1181,1218,1254,1280,1341,1341,1347,1380,1405,1423,1475,1508,1544,1544,1571,1637,1677,1725,1755,1789,1807,1838,1896,1945,1982,2017,2203,2334,2409,2541,2590,2636,2715,2729,2745,2790,2877,2921
Estado de México,2,4,4,6,6,9,10,10,14,14,22,22,21,26,46,70,85,119,136,149,157,171,177,180,204,261,320,354,399,470,498,523,558,602,659,695,754,786,877,901,1013,1157,1245,1445,1608,1694,1753,1966,2053,2258,2504,2615,2842,3086,3210,3374,3681,3863,4025,4146,4257,4521,4689,4998,5168,5369,5569,5758,6034,6221,6369,6697,6881,7163,7514,8245,8906,9134,9365,9464,9855,10095,10454,10824,11388,11801,11957,12186,12513,13053,13879,14546,15071,15285,15675,15906,16621,17130,17630,18029,18295,19459,20330,20804,21759,22500,22957,23247,23483,23625,24118,24741,25224
Quintana Roo,0,1,1,1,4,4,6,6,11,12,12,22,22,22,29,29,33,38,43,47,51,56,65,75,86,115,135,143,159,163,216,223,239,245,269,276,280,315,322,360,393,426,461,511,540,593,643,688,701,778,820,878,900,912,944,970,989,1022,1062,1072,1109,1135,1168,1217,1247,1278,1305,1336,1355,1382,1440,1520,1568,1597,1629,1671,1717,1765,1804,1839,1871,1915,1945,1999,2061,2105,2151,2168,2186,2224,2272,2317,2372,2429,2491,2497,2547,2643,2719,2778,2838,2930,2953,2992,3125,3213,3284,3379,3416,3518,3598,3762,3926
Yucatán,0,1,1,1,1,5,5,13,13,14,19,19,24,29,32,36,38,41,46,49,52,53,59,62,67,72,74,74,88,88,103,107,114,116,128,131,140,172,176,191,194,199,234,244,299,321,350,375,401,445,485,530,584,604,645,684,721,747,784,823,842,877,918,967,1018,1077,1108,1146,1199,1239,1318,1360,1415,1483,1519,1564,1599,1658,1693,1768,1819,1859,1915,1957,2010,2057,2097,2127,2147,2193,2280,2334,2417,2482,2521,2578,2684,2769,2864,2981,3073,3153,3235,3409,3530,3676,3813,3995,4147,4233,4405,4519,4612
